,arxiv,freelaw,nih_exporter,pubmed_central,wikipedia_en,dm_mathematics,github,philpapers,stackexchange,enron_emails,gutenberg_pg_19,pile_cc,ubuntu_irc,europarl,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,1.0,0.6927424972436453,-0.557089396009009,0.8368598299769928,0.740600765385256,-0.30470830593957104,0.6686430718031258,-0.6784813057152166,0.7729757948607442,-0.8833566609956977,0.6940187828665928,0.7756298682615195,-0.4467646257898671,0.2841340008909076,-0.29015281595360437,0.7529619104903039,0.7495987365666655
freelaw,0.6927424972436453,1.0,-0.26125195557547237,0.7160310077456141,0.8049277330061265,-0.32066063386488464,0.6296185674203609,-0.8500906588599049,0.5481475413462789,-0.6791962616566639,0.7507834212258907,0.8894247795552284,-0.5619474197289893,-0.0731162986415007,-0.18967281451208312,0.6549403764057853,0.7306111266421266
nih_exporter,-0.557089396009009,-0.26125195557547237,1.0000000000000002,-0.167421760939686,-0.3147458191885597,0.05048577740610995,-0.40408998179764694,0.44888013077666317,-0.4263948077567263,0.2310641135414787,-0.3613687407702269,-0.3939338409808843,-0.06423286629804661,-0.0338091711015098,0.15977982161466245,-0.02713335997944755,-0.3090518666207041
pubmed_central,0.8368598299769928,0.7160310077456141,-0.167421760939686,0.9999999999999999,0.7825776187942417,-0.2886806687274693,0.6083836769925337,-0.7247977321278392,0.6344378921586874,-0.9669982230119342,0.6724002824426251,0.7752327105274283,-0.5226378875123695,0.33307737256917264,-0.27830270747352404,0.9030642561328911,0.8195560278918461
wikipedia_en,0.740600765385256,0.8049277330061265,-0.3147458191885597,0.7825776187942417,0.9999999999999998,-0.3327680458488856,0.6360137645966982,-0.7793179873495912,0.6129983225457343,-0.7767680788600403,0.7631332366531618,0.9247479236640128,-0.5876575912973525,0.0463218809435636,-0.22367143536739606,0.7338985831939254,0.7750606120972668
dm_mathematics,-0.30470830593957104,-0.32066063386488464,0.05048577740610995,-0.2886806687274693,-0.3327680458488856,1.0000000000000002,-0.3828988718270783,0.23715767093199705,-0.3083264977182908,0.3286182714582379,-0.2835947895280086,-0.4231791392960822,-0.25017253020995417,-0.5412065113512957,-0.0381725774311584,-0.3679448456871919,-0.31035007462683556
github,0.6686430718031258,0.6296185674203609,-0.40408998179764694,0.6083836769925337,0.6360137645966982,-0.3828988718270783,0.9999999999999998,-0.7295518254192987,0.8789315673484912,-0.5764440221655885,0.5595654233142453,0.7205232863685646,-0.46173226437957,-0.07295867477214517,-0.25407851574839396,0.6200228626118942,0.6305145387836084
philpapers,-0.6784813057152166,-0.8500906588599049,0.44888013077666317,-0.7247977321278392,-0.7793179873495912,0.23715767093199705,-0.7295518254192987,1.0,-0.6214493814369344,0.6431986638971542,-0.7543034994458564,-0.9019028952823156,0.48688811312860547,0.17680539860732966,0.12499286532404214,-0.684099099200068,-0.7216362921062488
stackexchange,0.7729757948607442,0.5481475413462789,-0.4263948077567263,0.6344378921586874,0.6129983225457343,-0.3083264977182908,0.8789315673484912,-0.6214493814369344,1.0000000000000002,-0.6766799641574652,0.5562933288530383,0.685708478080384,-0.5272117544378979,0.004180418165127993,-0.1706080108651995,0.635264179687692,0.6274233739083868
enron_emails,-0.8833566609956977,-0.6791962616566639,0.2310641135414787,-0.9669982230119342,-0.7767680788600403,0.3286182714582379,-0.5764440221655885,0.6431986638971542,-0.6766799641574652,1.0,-0.6644950664834286,-0.76599638731995,0.5119778973931571,-0.40710578530818475,0.24790817314821875,-0.8884380934901464,-0.8722929640543585
gutenberg_pg_19,0.6940187828665928,0.7507834212258907,-0.3613687407702269,0.6724002824426251,0.7631332366531618,-0.2835947895280086,0.5595654233142453,-0.7543034994458564,0.5562933288530383,-0.6644950664834286,1.0,0.8364244940483564,-0.5717307678532257,-0.03621213204546643,-0.10674590243068709,0.6358873967685802,0.6519018967763996
pile_cc,0.7756298682615195,0.8894247795552284,-0.3939338409808843,0.7752327105274283,0.9247479236640128,-0.4231791392960822,0.7205232863685646,-0.9019028952823156,0.685708478080384,-0.76599638731995,0.8364244940483564,1.0,-0.5588740400854448,-0.0152457478073015,-0.13420586360112954,0.7639111556643275,0.8259079589274649
ubuntu_irc,-0.4467646257898671,-0.5619474197289893,-0.06423286629804661,-0.5226378875123695,-0.5876575912973525,-0.25017253020995417,-0.46173226437957,0.48688811312860547,-0.5272117544378979,0.5119778973931571,-0.5717307678532257,-0.5588740400854448,1.0000000000000002,0.47564751368735086,-0.07098745897290468,-0.5439195870035122,-0.5001446479408539
europarl,0.2841340008909076,-0.0731162986415007,-0.0338091711015098,0.33307737256917264,0.0463218809435636,-0.5412065113512957,-0.07295867477214517,0.17680539860732966,0.004180418165127993,-0.40710578530818475,-0.03621213204546643,-0.0152457478073015,0.47564751368735086,1.0,-0.2688870463236076,0.20688444274920811,0.2082415920331672
hackernews,-0.29015281595360437,-0.18967281451208312,0.15977982161466245,-0.27830270747352404,-0.22367143536739606,-0.0381725774311584,-0.25407851574839396,0.12499286532404214,-0.1706080108651995,0.24790817314821875,-0.10674590243068709,-0.13420586360112954,-0.07098745897290468,-0.2688870463236076,1.0,-0.253252979825916,-0.2737255035924219
pubmed_abstracts,0.7529619104903039,0.6549403764057853,-0.02713335997944755,0.9030642561328911,0.7338985831939254,-0.3679448456871919,0.6200228626118942,-0.684099099200068,0.635264179687692,-0.8884380934901464,0.6358873967685802,0.7639111556643275,-0.5439195870035122,0.20688444274920811,-0.253252979825916,1.0,0.8275327168654729
uspto_backgrounds,0.7495987365666655,0.7306111266421266,-0.3090518666207041,0.8195560278918461,0.7750606120972668,-0.31035007462683556,0.6305145387836084,-0.7216362921062488,0.6274233739083868,-0.8722929640543585,0.6519018967763996,0.8259079589274649,-0.5001446479408539,0.2082415920331672,-0.2737255035924219,0.8275327168654729,1.0
