training_domain,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,-3.1141182705518218,2.3499977394397114,1.3366321232882532,0.18953369518709381,3.4582662215526114,2.2531467732772246,1.7184583725658253,0.8701651004974461,0.662534349183947,3.9481649811871176,1.221117050740408,0.9605444295026836,0.21914017274740621
freelaw,0.8776223840169469,-0.8775869352375385,2.088232784407562,0.12172611963995357,3.2990867463656905,2.480316220229746,2.0086560616963705,0.3805090829745602,0.4215918061629212,4.173544133545018,0.9206176572230662,1.1557825856018558,0.23312487094262285
nih_exporter,1.682656309707879,-2.072546162436314,-2.371028004123566,-1.5046334001750266,-1.3791333121987053,-1.6772909531939417,-1.3110688538015693,-0.39412041665165787,-0.8594089308332495,1.0000239059220533,-0.3012986572370664,-3.8290328419104522,-0.36798254675406405
pubmed_central,-0.5283938914358173,2.259609843908943,-1.1359953814646135,0.09018705039720082,3.2518644674143364,2.5301869475776133,1.9554206333011626,1.001111700094904,0.5532991831711322,4.327499312945883,1.2256856692471596,-0.33634183750003904,0.024556723906617107
wikipedia_en,0.3602092538693511,1.708092686821797,1.499053208348623,-2.592560050053666,2.9649818149113214,2.150698670340509,1.6858861615361074,0.3351145050877604,-0.1403646693921858,4.016695811509346,0.8961007217034591,0.7292627140281107,-0.010934125074465307
dm_mathematics,-0.5892142432433095,1.7277603092539526,1.4029880472746756,0.28348164876639786,-14.8141205900258,1.3709980005594415,1.4369593160931589,0.8864927551998979,0.5427829070842313,4.02912722514262,0.8650301277956994,0.6550412918608668,-0.058677805574138625
github,0.47429205700730814,2.6141329436043605,2.076802337778513,0.4357041537508357,3.2220652001774464,-1.179777179783801,0.4756944316565589,1.0558734712041444,0.7623323322922517,3.736945443659707,1.0735626712324495,1.4880633761768454,0.6541015467574036
philpapers,-4.694660938060832,-1.8936730315507817,-2.544751448099477,-3.731615364450935,-6.44181349575683,-5.296007010886822,-3.5961142112818516,-1.2954495029172166,-1.085894365088974,-5.646472011240827,-0.3972704234151449,-1.5686670646693415,-2.6221792201030985
stackexchange,-1.0441781083758104,2.577540379061569,1.6942630826653222,0.1980387350091335,2.403220911941928,0.12450132811658143,-1.1274865156970264,0.820146878958198,0.4133576845077547,3.6961841333948096,0.6779333953735832,1.1708926028642257,0.3160022750019308
enron_emails,3.7818078609040606,-4.114954746154959,6.783262641398689,-2.3249436522749773,-13.351201328291786,-9.39827849316851,-3.510441781954931,-3.4877356264575243,-2.9868427403328828,-12.124963970723238,-4.287936833051213,1.0264421018653882,3.2012288619937235
gutenberg_pg_19,-0.16237588225561878,1.5570520739420362,1.5597254915604666,-0.3161638955592755,2.222173259167782,1.7287941545104502,1.503754123488393,-2.5332920080414603,0.04933331176399523,3.5055102385889696,0.5231000355004083,0.7077895599475597,0.1339635031484484
pile_cc,0.4869215105382729,1.5172775120421667,2.1310762895891022,-0.6853950343607196,3.348586871045787,2.0453678577435728,1.5032198333858808,0.057579418131539675,-0.6563729885818682,3.714303590531184,0.32835629432562374,0.752694347740653,-0.10921535508223268
ubuntu_irc,-1.1297895067968249,1.5601754256815485,0.0042197590937344855,-0.09744669891681276,0.2796595977698245,-1.0060830066354356,-0.2630943144685357,0.4915101965385798,-0.29978471143361524,-14.658994880122167,-0.0971770411092316,0.704232319455055,0.2636688631742574
europarl,-2.0166036524618107,1.3228164088613634,-1.7599292204720247,-0.8930110672594815,2.063919378715788,0.6594194192035672,0.4979186471048649,0.22774961446901024,0.08425726095308546,-1.3057107715305027,0.8773674084936817,0.12619950716806677,-1.1148477472414806
hackernews,-0.2571461477983616,0.004205581797452298,0.38678849343294847,-0.8482189497472398,-0.5758922052541028,-0.44380330573459215,-0.7991124011650994,-1.1784338618360737,-0.8679387897345131,1.223322124402198,-7.382112497467037,0.473751645602131,-0.08604282247693573
pubmed_abstracts,-0.2885410185850661,2.2087523935900673,0.38204456401565134,0.007796924069538238,3.2666484461306293,1.477712619219057,1.278822788084791,0.7349249044042188,0.37855198953186875,4.02380400693552,0.8987392362110103,-2.270624835189158,-0.5151373699590116
uspto_backgrounds,0.1901253025283205,2.1720335258998404,1.1455169903219127,0.038459182750178296,3.1136834478779445,2.0669155391658065,1.610650867597963,0.9474851179921847,0.44356710286464274,3.7761488322236674,1.0076985804870369,0.18894246558158492,-2.9142874984296174
